20140101,서울,5992,246,247,715
20140101,부산,3158,138,91,554
20140101,대구,2190,85,96,370
20140101,인천,3426,138,83,437
20140101,광주,2635,81,57,480
20140101,대전,2861,123,73,238
20140101,울산,1381,41,36,144
20140101,경기,13646,481,325,1460
20140101,강원,1101,44,44,193
20140101,충북,2322,118,73,335
20140101,충남,2993,136,90,420
20140101,전북,4076,102,155,626
20140101,전남,4657,184,101,829
20140101,경북,2574,181,108,582
20140101,경남,4107,158,97,672
20140101,제주,1506,36,57,128
20140101,전국,58653,2293,1734,8183
20140102,서울,101309,10963,8811,8139
20140102,부산,42779,4068,3258,3135
20140102,대구,26764,3401,2886,2630
20140102,인천,30532,3349,1888,2993
20140102,광주,16256,1810,1135,1906
20140102,대전,16587,1796,1437,1254
20140102,울산,14698,1324,1032,1210
20140102,경기,132576,13139,10135,11082
20140102,강원,13424,1767,1475,1312
20140102,충북,15083,1995,1371,1609
20140102,충남,24382,2566,2017,2412
20140102,전북,26312,2192,2161,2481
20140102,전남,22508,2709,1663,2679
20140102,경북,28448,3591,3113,2960
20140102,경남,38446,4419,3140,3608
20140102,제주,6458,631,663,505
20140102,전국,556796,59738,46198,49933
20140103,서울,84210,10113,7829,6997
20140103,부산,34625,3610,2907,2798
20140103,대구,21412,2933,2424,2133
20140103,인천,24679,2978,1743,2623
20140103,광주,13442,1571,929,1564
20140103,대전,13881,1654,1273,1114
20140103,울산,11461,1137,848,983
20140103,경기,108773,11571,8831,9493
20140103,강원,12025,1765,1196,1173
20140103,충북,12854,1765,1203,1402
20140103,충남,20018,2218,1779,1936
20140103,전북,21055,1822,1915,2097
20140103,전남,18588,2235,1472,2174
20140103,경북,23295,3116,2614,2410
20140103,경남,30544,3799,2860,2996
20140103,제주,5477,563,634,538
20140103,전국,456507,52860,40468,42445
20140104,서울,74899,8043,6350,6137
20140104,부산,30187,2766,2246,2146
20140104,대구,19766,2469,2076,1994
20140104,인천,22015,2487,1426,2105
20140104,광주,11922,1239,817,1402
20140104,대전,12874,1533,1058,989
20140104,울산,10087,901,691,831
20140104,경기,96287,9565,7399,8021
20140104,강원,8694,1216,767,733
20140104,충북,10720,1359,972,1116
20140104,충남,16246,1843,1399,1441
20140104,전북,17109,1462,1404,1625
20140104,전남,14790,1774,1153,1757
20140104,경북,18148,2378,2020,1853
20140104,경남,25101,3034,2094,2483
20140104,제주,4593,388,446,330
20140104,전국,393597,42472,32325,34976
20140105,서울,7695,407,234,534
20140105,부산,4285,162,71,178
20140105,대구,2382,52,60,214
20140105,인천,4172,157,78,274
20140105,광주,2439,47,50,285
20140105,대전,2827,133,37,109
20140105,울산,1990,88,30,131
20140105,경기,17600,782,454,1113
20140105,강원,1278,64,17,67
20140105,충북,2536,102,53,136
20140105,충남,2997,110,58,196
20140105,전북,3258,66,55,217
20140105,전남,3716,108,65,352
20140105,경북,2547,80,32,210
20140105,경남,3975,153,55,165
20140105,제주,1600,33,37,35
20140105,전국,65322,2545,1386,4222
20140106,서울,108504,12122,9782,8992
20140106,부산,43042,4340,3719,3320
20140106,대구,27321,3660,3137,2647
20140106,인천,30936,3805,2288,3244
20140106,광주,16736,1942,1087,1982
20140106,대전,17361,2113,1532,1365
20140106,울산,14367,1319,1016,1226
20140106,경기,135506,14159,11166,11405
20140106,강원,13810,2079,1509,1474
20140106,충북,15588,2080,1514,1631
20140106,충남,25264,2917,2181,2488
20140106,전북,26709,2394,2477,2743
20140106,전남,23092,2853,1944,2764
20140106,경북,29052,3758,3308,2967
20140106,경남,38457,4502,3508,3791
20140106,제주,6928,672,768,596
20140106,전국,572911,64730,50946,52657
20140107,서울,75304,9325,7886,6322
20140107,부산,30753,3334,2858,2437
20140107,대구,19125,2751,2493,1870
20140107,인천,22394,2958,1717,2265
20140107,광주,12112,1539,963,1515
20140107,대전,12489,1500,1239,975
20140107,울산,10363,1043,813,888
20140107,경기,96185,11025,8750,8223
20140107,강원,10396,1595,1255,1016
20140107,충북,11819,1618,1180,1294
20140107,충남,18334,2200,1781,1760
20140107,전북,18444,1783,1962,1803
20140107,전남,17282,2109,1487,2040
20140107,경북,20665,2788,2554,2178
20140107,경남,26987,3585,2615,2632
20140107,제주,5297,509,592,452
20140107,전국,408131,49676,40159,37687
20140108,서울,72880,8190,7171,6219
20140108,부산,27554,2554,2254,2075
20140108,대구,18393,2427,2179,1697
20140108,인천,21241,2553,1591,1987
20140108,광주,11151,1318,882,1401
20140108,대전,12146,1400,1029,909
20140108,울산,9329,906,693,771
20140108,경기,90880,9678,7960,7734
20140108,강원,9416,1457,1032,917
20140108,충북,10948,1413,1021,1107
20140108,충남,17091,1917,1574,1639
20140108,전북,17086,1509,1668,1788
20140108,전남,16058,1968,1234,1779
20140108,경북,19092,2430,2273,1948
20140108,경남,24150,2910,2326,2331
20140108,제주,4890,455,462,396
20140108,전국,382455,43095,35360,34711
20140109,서울,68903,7480,6369,5720
20140109,부산,29320,2710,2534,2324
20140109,대구,17938,2159,2023,1775
20140109,인천,19883,2285,1290,1982
20140109,광주,11369,1231,794,1381
20140109,대전,11872,1330,998,874
20140109,울산,9597,898,746,806
20140109,경기,87804,8834,7118,7190
20140109,강원,9387,1236,1082,919
20140109,충북,10180,1321,1034,1088
20140109,충남,16724,1809,1412,1541
20140109,전북,17113,1535,1593,1747
20140109,전남,15828,1802,1288,1893
20140109,경북,19189,2442,2129,1966
20140109,경남,26213,3046,2304,2574
20140109,제주,4816,401,484,390
20140109,전국,376286,40528,33208,34184
20140110,서울,79318,8980,7502,6600
20140110,부산,30807,3100,2717,2473
20140110,대구,19458,2711,2388,1843
20140110,인천,22240,2808,1572,2199
20140110,광주,12172,1394,863,1455
20140110,대전,12647,1603,1192,955
20140110,울산,10105,977,787,890
20140110,경기,96576,10258,8163,8107
