0,0,0,0,0,38,13,15,31,22,56039,37001,440,11.2,4,31035,0,3,0,9,1,50,17,31,15,68,73016,49832,533,12.8,8,38711,red
0,2,0,4,0,57,18,19,8,31,60243,41072,531,12.6,3,26397,0,0,0,2,0,46,18,8,19,8,44218,37136,571,11.8,3,24829,blue
0,0,0,0,0,28,7,5,20,8,24014,22929,306,8.4,0,6567,0,2,0,5,1,40,9,20,5,20,30797,35364,400,10,5,12589,red
1,1,1,2,0,129,39,26,36,45,101607,63447,774,16,3,24718,0,3,1,6,0,96,56,36,26,72,125866,70528,832,16.8,9,65312,red
1,2,2,11,3,114,35,27,40,47,134826,74955,831,16.6,5,37161,0,3,1,6,1,100,43,40,27,83,131536,74596,794,17,7,86431,blue
0,2,0,8,1,65,23,26,18,43,59839,52221,576,13.2,9,40925,0,1,0,2,0,58,18,18,26,34,64242,44280,555,12.2,3,23741,blue
0,0,0,2,0,72,26,16,31,30,70270,47107,601,13,5,20503,1,4,1,7,1,72,29,31,16,59,78424,58032,640,14.6,5,31415,red
1,2,1,10,2,79,39,36,20,88,102449,59163,613,14.2,7,28612,0,2,0,1,0,76,28,20,36,30,62134,47408,608,12.6,5,27846,blue
1,3,1,8,1,89,57,26,25,44,77245,57940,704,14.2,5,29726,0,1,0,2,0,96,33,25,26,34,69840,49906,646,13.8,6,32026,blue
0,1,0,4,0,43,20,20,11,34,56652,39014,486,11.4,5,17630,0,0,0,1,0,47,19,11,20,13,32999,32064,461,10.6,3,23511,blue
0,0,0,0,0,3,0,1,0,1,2128,4918,38,2.4,0,649,0,0,0,0,0,3,1,0,1,0,2035,4834,48,2.6,0,1269,red
0,2,0,9,2,41,14,25,9,24,45993,47084,536,12.2,4,21964,0,0,0,0,0,28,10,9,25,8,33147,29885,455,10.4,4,4943,blue
0,3,0,7,1,49,16,21,7,38,57342,42933,509,12.2,4,13040,0,0,0,3,0,43,17,7,21,5,35272,35372,506,10.8,2,17891,blue
0,0,0,4,0,75,33,7,19,13,42979,41910,646,12,2,15575,0,3,0,2,0,89,37,19,7,45,53831,41991,609,12.8,4,12916,red
1,3,1,10,1,59,28,35,22,56,95259,59286,678,15.4,5,33304,0,1,0,3,0,61,21,22,35,32,84061,47977,587,13.4,4,23507,blue
0,0,0,3,0,78,30,21,32,35,73488,51403,669,14.2,4,15986,1,4,1,8,1,68,40,32,21,59,83497,58613,628,14.8,9,27026,red
0,2,0,3,0,75,54,26,37,46,95379,57588,677,15.2,7,29205,1,3,2,10,2,87,28,37,27,82,108905,66567,659,16.6,8,30483,red
1,2,1,7,2,51,13,33,12,61,81469,50766,494,14,6,26137,0,1,0,0,0,58,19,12,33,26,50824,38976,546,12,3,26272,blue
0,0,0,3,0,45,13,6,22,9,36087,35880,563,11.2,1,13059,0,2,0,1,0,64,20,22,6,43,52924,39672,510,12.6,4,12252,red
1,1,1,9,2,66,31,30,13,61,64708,58214,651,14.8,7,37288,0,2,0,3,0,78,16,13,30,22,61745,46516,630,13,2,17005,blue
0,2,0,3,0,54,19,17,7,39,46638,38849,509,11.8,5,18752,0,0,0,0,0,48,23,7,17,14,35700,31037,490,10.4,1,10715,blue
0,2,0,3,0,55,19,11,23,9,50734,38528,511,11.6,5,18855,0,1,0,6,1,59,28,23,11,37,55948,44756,538,12.4,5,23136,red
1,3,1,10,3,69,33,25,13,56,72693,51886,599,14,5,28385,0,0,0,0,0,56,25,13,25,32,50704,41280,564,12.8,3,25530,blue
0,2,0,0,0,55,26,8,15,16,30467,31597,454,10.6,2,15413,0,1,0,5,0,55,29,15,8,25,39955,39460,540,11.8,4,9494,red
0,1,1,8,2,111,46,25,29,30,102663,69308,849,17.2,7,41308,1,4,1,5,1,113,41,29,25,65,112704,70036,821,17,7,44888,blue
0,2,0,5,0,55,9,26,3,34,45772,36545,402,10.6,6,14093,0,0,0,0,0,33,11,3,26,5,25007,21444,304,8.2,1,10499,blue
0,2,0,6,1,53,12,23,9,37,51535,40199,475,12.2,6,18157,0,0,0,1,0,49,16,9,23,11,39497,33417,478,10.6,2,12724,blue
1,1,2,11,3,85,42,26,13,50,81075,62067,730,16,7,37491,0,3,0,2,0,88,39,13,26,22,86161,49262,686,13.6,4,45952,blue
0,2,0,3,0,75,23,19,24,22,79501,42395,528,12,5,23863,0,1,0,4,0,70,32,23,19,39,71794,45798,565,13.6,7,47523,red
0,0,0,2,0,66,24,10,23,11,44351,38762,559,12.2,3,34497,0,4,0,5,0,68,29,23,10,39,58361,46649,612,13.2,3,21811,red
0,2,0,3,0,53,15,26,12,36,58591,41489,492,12.2,6,16169,0,0,0,1,0,38,15,12,26,15,47066,35078,471,11,1,21121,blue
0,2,0,7,2,95,46,18,25,27,75809,61478,865,15.2,3,27206,1,3,2,4,0,98,37,25,18,44,77016,67375,925,16.8,6,33906,red
0,2,0,2,0,44,25,20,35,23,51562,40895,511,11.6,6,12052,1,2,1,6,0,64,22,35,20,47,58967,50294,493,13.4,9,13261,red
1,3,1,9,1,110,38,40,26,63,100283,66751,685,16,10,40282,0,1,0,2,0,81,36,26,40,52,95700,55238,693,14.6,9,21801,blue
0,2,0,5,0,49,35,34,20,51,73518,48425,513,12.6,9,18428,0,1,0,0,0,71,19,20,34,37,58659,41024,524,11.6,5,30770,blue
1,5,1,7,2,171,60,44,19,99,143619,77247,810,17.2,8,72639,0,1,0,2,0,144,70,19,44,35,112214,63054,875,16,4,25385,blue
0,4,0,9,1,105,53,35,17,62,107076,61215,780,15.2,8,39301,0,0,0,1,0,111,38,17,35,26,79191,48970,696,13.8,4,28271,blue
0,0,0,7,1,55,27,24,15,48,71476,46130,468,12.6,6,38890,0,3,0,4,0,53,22,15,24,30,60017,41626,505,12,3,37676,blue
