HH,NE,Away,54,42,4,4,10,4,0,0,8,0,1,7,1,7,0,24,0.133333333,15,2,0.352941176,0.238095238,Win
NE,HH,Home,46,40,5,5,8,4,0,2,4,0,0,6,0,7,1,18,0.090909091,11,1,0.304347826,0.2,Loss
KT,LT,Away,46,35,8,9,14,2,0,2,2,1,1,8,1,8,1,23,0.285714286,14,4,0.511111111,0.4,Win
LT,KT,Home,42,37,12,12,14,10,0,2,4,1,0,3,1,8,1,17,0.4375,16,7,0.43902439,0.378378378,Loss
LG,HT,Away,34,29,1,1,7,4,2,0,0,0,0,4,0,6,2,17,0.2,10,2,0.333333333,0.24137931,Win
HT,LG,Home,34,30,3,3,8,2,2,1,4,0,1,3,0,5,1,13,0,7,0,0.323529412,0.266666667,Loss
NC,OB,Away,38,31,4,4,9,0,0,0,4,2,2,4,1,8,1,17,0.333333333,9,3,0.368421053,0.290322581,Win
OB,NC,Home,43,35,9,9,12,0,2,2,2,0,2,6,0,3,0,18,0.272727273,11,3,0.418604651,0.342857143,Loss
SK,SS,Away,36,31,1,1,5,2,2,0,0,1,0,5,0,8,1,12,0.2,5,1,0.277777778,0.161290323,Win
SS,SK,Home,42,38,6,6,13,6,0,0,6,0,0,4,0,5,0,23,0.333333333,15,5,0.404761905,0.342105263,Loss
HH,NE,Away,41,32,5,5,9,4,0,1,4,2,0,6,2,9,1,19,0.166666667,12,2,0.425,0.28125,Loss
NE,HH,Home,39,33,3,3,7,4,0,0,0,0,0,4,2,7,0,15,0.285714286,7,2,0.333333333,0.212121212,Win
KT,LT,Away,40,34,4,4,8,4,0,0,2,0,0,6,0,6,2,20,0.272727273,11,3,0.35,0.235294118,Win
LT,KT,Home,39,29,4,5,6,2,0,2,4,1,0,9,1,8,0,19,0.111111111,9,1,0.41025641,0.206896552,Loss
LG,HT,Away,43,39,6,6,15,10,0,0,6,1,1,3,0,6,0,17,0.214285714,14,3,0.418604651,0.384615385,Win
HT,LG,Home,39,30,7,7,9,2,0,3,0,0,0,6,1,2,0,16,0.222222222,9,2,0.432432432,0.3,Loss
NC,OB,Away,38,36,1,1,9,6,0,0,0,0,0,2,0,1,0,20,0.111111111,9,1,0.289473684,0.25,Win
OB,NC,Home,29,29,4,4,7,0,0,2,0,0,0,0,0,2,2,7,0.5,4,2,0.24137931,0.24137931,Loss
SK,SS,Away,40,33,7,7,9,4,0,1,2,0,1,4,0,5,0,15,0.272727273,11,3,0.342105263,0.272727273,Loss
SS,SK,Home,40,34,3,3,8,0,0,1,6,0,0,5,1,4,0,17,0.272727273,11,3,0.35,0.235294118,Win
LT,LG,Away,38,33,7,7,10,2,0,1,0,0,0,5,0,12,0,15,0.428571429,7,3,0.394736842,0.303030303,Loss
LG,LT,Home,29,26,1,1,6,2,0,0,0,2,0,3,0,5,0,18,0.166666667,6,1,0.310344828,0.230769231,Win
SS,KT,Away,43,41,8,8,15,10,0,2,4,1,0,1,0,6,1,19,0.388888889,18,7,0.380952381,0.365853659,Loss
