1,90,100,100,100,90
2,100,90,90,90,80
3,100,100,100,100,100
4,30,25,15,40,30
5,100,100,100,100,100
6,85,85,90,90,80
7,85,85,90,90,80
8,80,70,90,70,70
9,80,95,90,90,70
10,25,30,30,25,25
11,70,85,90,90,90
12,70,70,90,55,60
13,100,90,90,90,80
14,95,100,100,100,90
15,60,60,50,70,50
16,100,100,100,100,100
17,100,100,100,100,100
18,95,95,90,90,80
19,25,30,30,30,30
20,80,70,90,70,50
21,85,55,60,75,50
22,80,70,90,55,80
23,65,70,60,70,60
24,85,70,90,55,100
25,35,40,40,40,30
26,80,70,90,75,80
27,85,55,80,55,80
28,70,70,90,55,80
29,70,80,90,90,90
30,50,50,40,40,55
31,100,100,100,100,100
32,95,100,100,100,90
33,45,30,30,30,30
34,70,80,90,90,90
35,90,100,95,95,85
36,50,40,40,10,50
37,70,80,70,70,80
38,80,85,90,90,80
39,75,55,80,70,80
40,80,95,90,90,70
41,60,60,50,70,60
42,70,70,90,70,50
43,100,100,100,100,100
44,85,85,90,90,80
45,100,95,90,90,80
46,60,60,50,70,60
47,70,80,90,90,90
48,70,60,80,70,50
49,85,85,90,90,80
50,45,30,30,30,30
51,50,40,40,40,55
52,70,85,90,90,90
53,85,85,90,90,80
54,100,100,100,100,90
55,80,70,90,60,70
56,65,55,75,70,50
57,100,100,100,100,100
58,80,85,90,90,100
59,80,95,90,95,70
60,-25,30,30,30,55
61,95,95,90,80,80
62,65,85,70,70,50
63,80,70,90,55,80
64,95,90,90,80,80
65,75,55,75,55,60
66,60,60,50,70,60
67,60,60,50,70,50
68,70,70,90,70,80
69,80,95,90,95,50
70,95,100,95,70,85
71,75,70,90,75,100
72,25,30,30,30,30
73,90,100,95,95,85
74,90,100,95,95,85
75,30,25,15,10,20
76,95,95,90,90,80
77,35,40,40,40,30
78,60,60,50,7,80
79,95,100,100,100,90
80,95,90,90,80,80
81,90,100,100,100,90
82,80,95,90,90,70
83,25,30,30,25,25
84,65,70,80,75,80
85,70,60,60,70,50
86,75,85,90,90,90
87,100,95,90,90,80
88,70,60,60,70,80
89,70,70,90,70,50
90,65,70,80,70,80
91,100,95,90,90,80
92,65,85,90,90,100
93,35,40,40,40,30
94,90,100,100,100,90
95,50,40,40,40,55
96,90,100,95,95,85
97,35,50,40,40,55
98,30,25,15,40,30
99,65,70,0,70,60
100,50,40,40,40,30
101,100,95,90,90,100
102,70,60,75,60,50
103,65,55,80,75,80
104,75,70,90,55,80
105,90,100,100,100,90
106,70,80,90,90,90
107,60,60,50,70,50
108,75,85,90,90,90
109,100,100,100,100,100
110,90,100,100,100,90
111,70,80,90,90,90
112,100,90,90,90,80
113,30,25,15,10,20
114,85,85,90,90,80
115,50,40,40,10,50
116,80,70,90,70,50
117,30,25,15,10,20
118,90,100,100,100,90
119,70,80,70,70,80
120,35,40,40,40,30
121,65,85,90,90,80
122,100,100,100,100,90
123,60,60,50,70,80
124,25,30,30,25,25
125,100,100,100,100,0
126,85,85,90,90,80
127,25,30,30,25,25
128,95,95,90,95,80
129,45,30,30,30,30
130,95,100,100,100,90
131,70,80,90,90,90
132,65,55,75,55,60
133,90,100,100,100,90
134,90,100,100,100,90
135,70,70,90,75,80
136,25,30,30,30,30
137,100,90,90,90,100
138,60,60,50,70,50
139,80,70,90,75,80
140,25,30,30,30,30
141,70,70,90,70,50
142,80,70,90,70,70
143,45,30,30,25,25
144,30,25,15,40,55
145,30,25,15,40,30
146,80,70,90,75,50
147,80,55,75,55,80
148,85,85,90,90,100
149,95,100,100,100,90
150,70,80,70,70,50
151,70,70,90,55,80
152,25,30,30,25,25
153,60,60,50,70,50
154,100,90,90,90,80
155,75,70,70,70,50
156,100,100,100,100,90
157,100,100,100,100,100
158,45,30,30,30,30
159,80,95,90,90,70
160,85,70,90,75,80
161,80,95,90,80,70
162,95,100,100,100,90
163,50,40,40,40,55
164,30,25,15,10,20
165,95,100,100,100,90
166,30,25,15,40,30
167,70,60,60,70,50
168,25,30,30,25,25
169,50,40,40,40,30
170,70,70,90,75,100
171,70,60,60,70,50
172,90,100,95,95,85
173,85,-55,75,70,50
174,95,95,90,90,80
175,70,85,90,90,90
176,100,100,100,100,100
177,100,90,90,90,80
178,50,50,40,40,30
179,100,100,100,100,90
180,70,60,80,70,50
181,75,70,70,55,50
182,75,55,80,70,80
183,80,95,90,80,70
184,65,55,80,75,80
185,95,100,100,100,90
186,95,100,100,100,90
187,50,50,40,40,55
188,35,50,40,40,30
189,90,100,95,95,85
190,70,70,90,70,80
191,100,100,100,100,100
192,90,100,95,95,85
193,70,60,80,70,70
194,30,25,15,10,20
195,90,100,95,95,85
196,90,100,95,95,85
197,100,100,100,100,100
198,80,70,90,70,80
199,50,50,40,40,55
200,80,70,90,75,80
201,90,100,100,100,90
202,30,25,15,10,20
203,35,50,40,40,30
204,30,25,15,40,55
205,80,95,90,95,50
206,60,60,50,70,50
207,25,30,30,30,30
208,25,30,30,25,25
209,95,90,90,80,80
210,60,60,50,70,50
211,90,100,95,95,85
212,100,100,100,100,90
213,45,30,30,25,25
214,50,50,40,40,55
215,70,60,80,70,50
216,70,60,80,70,70
217,70,85,70,70,60
218,70,60,75,70,80
219,95,100,100,100,90
220,45,30,30,25,25
221,50,50,40,10,20
222,65,55,80,55,80
223,85,85,90,90,80
224,25,30,30,25,25
225,100,100,100,100,100
226,35,50,40,40,55
227,70,80,70,70,60
228,45,30,30,25,25
229,80,95,90,90,70
230,25,30,30,25,25
231,35,40,40,40,55
232,85,85,90,90,100
233,100,100,100,100,90
234,95,90,90,90,80
235,80,70,90,75,50
